Crs & Sec,CRN,Title,Cred,Days,Times,Room,Instructor
AFR-101-0,10001,Intro to Africana Studies,1,TR,9:40 - 10:55 AM,LIB STUDIOD,Garcia-Rojas C
AFR-283-0,10529,"Islands, Arch & Blk Womns Lit",1,TR,1:40 - 2:55 PM,LIB STUDIOD,Gill-Sadler R
AFR-302-0,10540,Blk Wmn's Intellectual History,1,TR,8:15 - 9:30 AM,CHAM 1045,Green H
AFR-495-0,10514,Africana Capstone,1,W,1:30 - 4:20 PM,CHAM 1046,Green H
ANT-101-0,10003,Intro Cultural Anthropology,1,TR,9:40 - 10:55 AM,WATSON 147,Shuman S
ANT-102-0,10004,Humankind Evolving,1,TR,9:40 - 10:55 AM,WATSON 119,Cormier A
ANT-220-0,10547,"Religion, Society & Culture",1,TR,3:05 - 4:20 PM,WATSON 157,Shuman S
ANT-340-0,10008,Medical Anthropology,1,T,1:40 - 4:20 PM,CHAM 2196,Cormier A
ANT-373-0,10009,Decolonizing Anthro Theory,1,W,1:30 - 4:20 PM,WALL 243,Bowles L
ANT-490-0,10010,Sr Colloquium in Anthropology,1,T,1:40 - 4:20 PM,CHAM 1046,Bowles L
ARB-101-0,10012,Elementary Arabic I,1,MWF,9:30 - 10:20 AM,CHAM 3234,Joubin R
ARB-201-0,10013,Intermediate Arabic I,1,MWF,10:30 - 11:20 AM,CHAM 3234,Joubin R
ARB-326-0,10014,Political Parodies in Syria,1,MWF,8:30 - 9:20 AM,CHAM 3234,Joubin R
ART-100-0,10523,Survey of Western Art,1,MWF,8:30 - 9:20 AM,VAC 117,Martinez T
ART-101-A,10015,Basic Drawing,1,TR,9:40 - 10:55 AM,VAC 203,Starr T
ART-101-B,10016,Basic Drawing,1,TR,9:40 - 10:55 AM,VAC 223,Savage C
ART-103-0,10017,Basic Painting,1,T,1:40 - 4:20 PM,VAC 213,St Clair K
ART-105-0,10018,Introduction to Print Media,1,M,1:30 - 4:20 PM,VAC 104,Starr T
ART-107-0,10019,Introduction to Works on Paper,1,TR,12:15 - 1:30 PM,VAC 105,Starr T
ART-109-0,10020,Basic Sculpture,1,R,1:40 - 4:20 PM,VAC 106,Savage C
ART-111-A,10021,Introduction to Digital Art,1,TR,8:15 - 9:30 AM,VAC 212,Dietrick J
ART-111-B,10022,Introduction to Digital Art,1,TR,9:40 - 10:55 AM,VAC 212,Dietrick J
ART-126-0,10545,Survey of Western Architecture,1,MWF,12:30 - 1:20 PM,VAC 117,Hundley C
ART-206-0,10544,From Catacombs to Cathedrals,1,MWF,10:30 - 11:20 AM,VAC 117,Hundley C
ART-210-0,10525,Italian Renaissance,1,MWF,11:30 - 12:20 PM,VAC 117,Martinez T
ART-211-0,10023,Advanced Digital Art,1,TR,12:15 - 1:30 PM,VAC 212,Dietrick J
ART-218-0,10024,Modern Art from Rodin-Warhol,1,MWF,9:30 - 10:20 AM,VAC 117,Corso-Esquivel J
ART-400-0,10027,Perspectives in Art History,1,MWF,1:30 - 2:20 PM,VAC 108,Corso-Esquivel J
ART-401-0,10028,Senior Exhibition/Examination,1,W,1:30 - 4:20 PM,VAC 214,St Clair K
